1121;Fixed Wing Multi-Engine;Turbo-Jet
150;Fixed Wing Single-Engine;Reciprocating
172E;Fixed Wing Single-Engine;Reciprocating
172M;Fixed Wing Single-Engine;4 Cycle
182A;Fixed Wing Single-Engine;Reciprocating
182P;Fixed Wing Single-Engine;Reciprocating
206B;Rotorcraft;Turbo-Shaft
210-5(205);Fixed Wing Single-Engine;Reciprocating
421C;Fixed Wing Multi-Engine;Reciprocating
550;Fixed Wing Multi-Engine;Turbo-Fan
60;Fixed Wing Multi-Engine;Reciprocating
690A;Fixed Wing Multi-Engine;Turbo-Prop
717-200;Fixed Wing Multi-Engine;Turbo-Fan
737-301;Fixed Wing Multi-Engine;Turbo-Jet
737-317;Fixed Wing Multi-Engine;Turbo-Jet
737-322;Fixed Wing Multi-Engine;Turbo-Fan
737-33A;Fixed Wing Multi-Engine;Turbo-Fan
737-3A4;Fixed Wing Multi-Engine;Turbo-Jet
737-3B7;Fixed Wing Multi-Engine;Turbo-Fan
737-3G7;Fixed Wing Multi-Engine;Turbo-Jet
737-3H4;Fixed Wing Multi-Engine;Turbo-Fan
737-3K2;Fixed Wing Multi-Engine;Turbo-Jet
737-3L9;Fixed Wing Multi-Engine;Turbo-Jet
737-3Q8;Fixed Wing Multi-Engine;Turbo-Fan
737-3S3;Fixed Wing Multi-Engine;Turbo-Fan
737-3T5;Fixed Wing Multi-Engine;Turbo-Jet
737-3TO;Fixed Wing Multi-Engine;Turbo-Jet
737-3Y0;Fixed Wing Multi-Engine;Turbo-Fan
737-401;Fixed Wing Multi-Engine;Turbo-Jet
737-490;Fixed Wing Multi-Engine;Turbo-Jet
737-4B7;Fixed Wing Multi-Engine;Turbo-Jet
737-4Q8;Fixed Wing Multi-Engine;Turbo-Jet
737-4S3;Fixed Wing Multi-Engine;Turbo-Jet
737-522;Fixed Wing Multi-Engine;Turbo-Fan
737-524;Fixed Wing Multi-Engine;Turbo-Fan
737-5H4;Fixed Wing Multi-Engine;Turbo-Jet
737-705;Fixed Wing Multi-Engine;Turbo-Fan
737-724;Fixed Wing Multi-Engine;Turbo-Jet
737-76N;Fixed Wing Multi-Engine;Turbo-Fan
737-76Q;Fixed Wing Multi-Engine;Turbo-Fan
737-790;Fixed Wing Multi-Engine;Turbo-Jet
737-7AD;Fixed Wing Multi-Engine;Turbo-Jet
737-7BD;Fixed Wing Multi-Engine;Turbo-Fan
737-7H4;Fixed Wing Multi-Engine;Turbo-Fan
737-7Q8;Fixed Wing Multi-Engine;Turbo-Fan
737-824;Fixed Wing Multi-Engine;Turbo-Fan
737-832;Fixed Wing Multi-Engine;Turbo-Jet
737-890;Fixed Wing Multi-Engine;Turbo-Fan
737-8FH;Fixed Wing Multi-Engine;Turbo-Jet
737-924;Fixed Wing Multi-Engine;Turbo-Fan
737-924ER;Fixed Wing Multi-Engine;Turbo-Fan
737-990;Fixed Wing Multi-Engine;Turbo-Jet
747-422;Fixed Wing Multi-Engine;Turbo-Fan
757-212;Fixed Wing Multi-Engine;Turbo-Jet
757-222;Fixed Wing Multi-Engine;Turbo-Jet
757-223;Fixed Wing Multi-Engine;Turbo-Fan
757-224;Fixed Wing Multi-Engine;Turbo-Jet
757-225;Fixed Wing Multi-Engine;Turbo-Fan
757-231;Fixed Wing Multi-Engine;Turbo-Fan
757-232;Fixed Wing Multi-Engine;Turbo-Jet
757-23N;Fixed Wing Multi-Engine;Turbo-Fan
757-251;Fixed Wing Multi-Engine;Turbo-Jet
757-26D;Fixed Wing Multi-Engine;Turbo-Jet
757-2B7;Fixed Wing Multi-Engine;Turbo-Fan
757-2G7;Fixed Wing Multi-Engine;Turbo-Jet
757-2Q8;Fixed Wing Multi-Engine;Turbo-Fan
757-2S7;Fixed Wing Multi-Engine;Turbo-Jet
757-324;Fixed Wing Multi-Engine;Turbo-Jet
757-33N;Fixed Wing Multi-Engine;Turbo-Jet
757-351;Fixed Wing Multi-Engine;Turbo-Jet
767-201;Fixed Wing Multi-Engine;Turbo-Jet
767-223;Fixed Wing Multi-Engine;Turbo-Fan
767-224;Fixed Wing Multi-Engine;Turbo-Jet
767-2B7;Fixed Wing Multi-Engine;Turbo-Jet
767-322;Fixed Wing Multi-Engine;Turbo-Fan
767-323;Fixed Wing Multi-Engine;Turbo-Fan
767-332;Fixed Wing Multi-Engine;Turbo-Fan
767-33A;Fixed Wing Multi-Engine;Turbo-Fan
767-3CB;Fixed Wing Multi-Engine;Turbo-Jet
767-3G5;Fixed Wing Multi-Engine;Turbo-Jet
767-3P6;Fixed Wing Multi-Engine;Turbo-Fan
767-424ER;Fixed Wing Multi-Engine;Turbo-Jet
767-432ER;Fixed Wing Multi-Engine;Turbo-Jet
777-222;Fixed Wing Multi-Engine;Turbo-Fan
777-224;Fixed Wing Multi-Engine;Turbo-Fan
;;
A-1B;Fixed Wing Single-Engine;Reciprocating
A318-111;Fixed Wing Multi-Engine;Turbo-Fan
A319-111;Fixed Wing Multi-Engine;Turbo-Jet
A319-112;Fixed Wing Multi-Engine;Turbo-Jet
A319-114;Fixed Wing Multi-Engine;Turbo-Fan
A319-131;Fixed Wing Multi-Engine;Turbo-Jet
A319-132;Fixed Wing Multi-Engine;Turbo-Jet
A320-211;Fixed Wing Multi-Engine;Turbo-Jet
A320-212;Fixed Wing Multi-Engine;Turbo-Fan
A320-214;Fixed Wing Multi-Engine;Turbo-Fan
A320-231;Fixed Wing Multi-Engine;Turbo-Jet
A320-232;Fixed Wing Multi-Engine;Turbo-Fan
A321-211;Fixed Wing Multi-Engine;Turbo-Jet
A330-323;Fixed Wing Multi-Engine;Turbo-Fan
AS 355F1;Rotorcraft;Turbo-Shaft
ATR 72-212;Fixed Wing Multi-Engine;Turbo-Prop
ATR-72-212;Fixed Wing Multi-Engine;Turbo-Prop
C90;Fixed Wing Multi-Engine;Turbo-Prop
CL-600-2B19;Fixed Wing Multi-Engine;Turbo-Fan
CL-600-2C10;Fixed Wing Multi-Engine;Turbo-Fan
CL600-2D24;Fixed Wing Multi-Engine;Turbo-Fan
DC-7BF;Fixed Wing Multi-Engine;Reciprocating
DC-9-31;Fixed Wing Multi-Engine;Turbo-Jet
DC-9-32;Fixed Wing Multi-Engine;Turbo-Jet
DC-9-41;Fixed Wing Multi-Engine;Turbo-Jet
DC-9-51;Fixed Wing Multi-Engine;Turbo-Jet
DC-9-82(MD-82);Fixed Wing Multi-Engine;Turbo-Fan
DC-9-83(MD-83);Fixed Wing Multi-Engine;Turbo-Fan
DHC-8-202;Fixed Wing Multi-Engine;Turbo-Prop
E-90;Fixed Wing Multi-Engine;Turbo-Prop
EMB-120;Fixed Wing Multi-Engine;Turbo-Prop
EMB-120ER;Fixed Wing Multi-Engine;Turbo-Prop
EMB-145;Fixed Wing Multi-Engine;Turbo-Jet
EMB-145EP;Fixed Wing Multi-Engine;Turbo-Jet
EMB-145LR;Fixed Wing Multi-Engine;Turbo-Fan
EMB-145XR;Fixed Wing Multi-Engine;Turbo-Fan
ERJ 190-100 IGW;Fixed Wing Multi-Engine;Turbo-Fan
F85P-1;Fixed Wing Single-Engine;Reciprocating
FALCON XP;Fixed Wing Single-Engine;Reciprocating
FALCON-XP;Fixed Wing Single-Engine;Reciprocating
G-IV;Fixed Wing Multi-Engine;Turbo-Fan
HST-550;Fixed Wing Single-Engine;Turbo-Prop
KITFOX IV;Fixed Wing Single-Engine;Reciprocating
MD-88;Fixed Wing Multi-Engine;Turbo-Fan
MD-90-30;Fixed Wing Multi-Engine;Turbo-Jet
OTTER DHC-3;Fixed Wing Single-Engine;Reciprocating
PA-28-180;Fixed Wing Single-Engine;Reciprocating
PA-31-350;Fixed Wing Multi-Engine;Reciprocating
PA-32R-300;Fixed Wing Single-Engine;Reciprocating
PA-32RT-300;Fixed Wing Single-Engine;Reciprocating
S-50A;Balloon;None
S-76A;Rotorcraft;Turbo-Shaft
T210N;Fixed Wing Single-Engine;Reciprocating
VANS AIRCRAFT RV6;Fixed Wing Single-Engine;Reciprocating
planeModel;planeAircraft_type;plane_Engine_type
